Title,Suburb,Bedrooms,Bathrooms,LandArea,FloorArea,PriceDisplay,PropertyType
ENQKFSXBCUWA2VZT3P6M,Te Atatu South,3,2,,,"Asking price $688,000",Townhouse
V7HCB1W92XWF1DX2AD8F,City Centre,2,1,,,Price by negotiation,Apartment
Time to fulfill your dreams,Pokeno,,,1000,,"Auction on 27 Mar, 5:52?€?am",Bare land
YDJ9L2OM6ON3FZGRYU01,City Centre,2,2,,,"Asking price $696,000",Apartment
Contemporary CBD Living by Park,City Centre,1,1,,,"Asking price $379,000",Apartment
Embrace the Pulse of City Fringe!,Meadowbank,2,2,,,"Asking price $919,000",Apartment
21 ACRES OF RURAL PRODUCTION LAND WITH POTENTIAL,Kumeu,3,2,86603,,Price by negotiation,House
MORTGAGEE SALE,Remuera,5,2,601,,"Auction on 23 Apr, 8:44?€?am",House
O0Z9KOIUC2MK85X5WN6D,City Centre,2,2,,,"Asking price $1,190,000",Apartment
J7O7OQKZA7SW3PT9FG6Y,Remuera,4,3,413,,Price by negotiation,House
Z3GHG2S1VGRPRK5HB90N,Ramarama,,,5400,,"Asking price $780,000",Bare land
4OQ7OPO9EAXAATBJXWXX,City Centre,2,1,,,"Asking price $700,000",Apartment
L2AUH5U9L8XB0H37O9UP,Mangere,2,1,,,"Asking price $699,000",Townhouse
Time to fulfill your dreams,Pokeno,,,1000,,"Auction on 26 Mar, 5:59?€?am",Section
"Opportunity Knocks, Vendor Overseas Bound!",Patumahoe,4,2,935,,Price by negotiation,House
Restored 1930s Vintage Masterpiece,City Centre,2,1,,,"Asking price $949,000",Apartment
MORTGAGEE SALE,Weymouth,4,1,600,,"Auction on 22 Apr, 8:47?€?am",House
75CCG076MVO5IN9R75RS,City Centre,2,1,,,"Asking price $700,000",Apartment
GF3K9OWS6173J8399ZUD,Orakei,4,3,,,"Auction on 30 Apr, 10:00?€?am",House
XY3W10XPE0KI27O32R9V,City Centre,2,1,,,"Asking price $648,000",Apartment
8YG13QMSKD0YK723Q5VY,Pukekohe,3,1,761,,Price by negotiation,House
Y2IK4HU7EEQS3SL0LWRT,City Centre,2,1,,,"Asking price $675,000",Apartment
Time to fulfill your dreams,Pokeno,2,3,1000,,"Auction on 25 Mar, 6:00?€?am",Unit
OXQX811ESV6934Q2ZSOZ,City Centre,2,2,,,"Asking price $729,000",Apartment
Entry level- Brand new & Modern Living,Mangere,2,1,,,"Asking price $799,000",Townhouse
Elevate Your Lifestyle at 103/3 Tiakina Road,Northcote,2,1,,,"Asking price $749,000",Apartment
?€?WYCHWOOD?€?- SUPERSIZED ELEGANCE + STABLES & STUDIO,Karaka,6,4,46700,,"Asking price $3,298,000",Dwelling
MORTGAGEE SALE,Remuera,5,2,601,,"Auction on 21 Apr, 8:51?€?am",House
5CM56VSQCXKV48GIPFQ6,Mount Eden,3,2,650,,"Asking price $2,059,000",House
9ZK3TT8FE02CVYVAA9IG,Eden Terrace,1,1,,,Deadline sale by 2 Apr,Apartment
VU9ST2Y5UAWYMM890H78,Grafton,3,2,,,"Asking price $879,000",Apartment
Time to fulfill your dreams,Pokeno,,,1000,,"Auction on 24 Mar, 5:57?€?am",Section
Space & Convenience - With SkyTower View,City Centre,2,2,,,"Asking price $696,000",Apartment
SCARCE FREEHOLD LOFT,Freemans Bay,1,1,,,Deadline sale by 20 Mar,Unit
Developers Dream,Pukekohe,3,1,761,,Price by negotiation,House
Do-Up Opportunity in DGZ - MUST SELL!,Newmarket,1,1,,,"Auction on 20 Apr, 8:49?€?am",Apartment
MORTGAGEE SALE,Pakuranga,4,1,660,,"Auction on 16 Apr, 2:00?€?pm",House
MORTGAGEE SALES,Avondale,3,1,807,,"Auction on 16 Apr, 2:00?€?pm",House
MORTGAGEE SALE,Weymouth,4,1,600,,"Auction on 16 Apr, 2:00?€?pm",House
4RVH1DJ838NO1RGX6H38,Northcote,2,1,,,"Asking price $569,000",Townhouse
H9Y9KT2VYSD1HUNDOFEN,Pukekohe,3,2,259,,"Asking price $770,000",House
LXYWZ77Q0SP0PDHVRS1E,City Centre,2,1,,,"Asking price $879,000",Apartment
QVIFQXGD6EAERW00JUMZ,Remuera,5,4,1399,,Price by negotiation,House
Time to fulfill your dreams,Pokeno,2,3,1000,,"Auction on 23 Mar, 9:46?€?am",Apartment
Elevate Your Lifestyle at 63 Tonar Street!,Northcote,2,1,,,"Asking price $719,000",Apartment
Seaview Premium Living by Britomart,City Centre,2,1,,,"Asking price $648,000",Apartment
Your Gateway to Remuera?€?s Northern Slopes ?€? DGZ,Remuera,3,2,,,Price by negotiation,House
The Perfect Package!,Pukekohe,3,1,693,,"Auction on 19 Apr, 8:38?€?pm",House
Pakiri Point,Pakiri,6,6,48100,,Price by negotiation,Dwelling
Pakiri Point,Pakiri,6,6,48100,,Price by negotiation,Dwelling
Pakiri Point,Pakiri,6,6,48100,,Price by negotiation,Dwelling
Pakiri Point,Pakiri,6,6,48100,,Price by negotiation,Dwelling
EPT35WJSFS3O1QPKU4L0,Puni,,,269800,,"Asking price $2,150,000",Bare land
NBJGXMJO1EWHH4JX9A9O,City Centre,2,2,,,"Asking price $1,100,000",Apartment
EVOF9C6I7J167IERPLHN,Waiuku,,,5019,,Price by negotiation,Section
5FRUHULPBWXDIA7E2HBP,Karaka,4,2,12700,,Price by negotiation,Dwelling
8229007D18YF1S3WTS0O,Waiau Pa,4,2,2500,,"Asking price $1,649,000",Dwelling
Time to fulfill your dreams,Pokeno,2,3,1000,,"Auction on 23 Mar, 6:00?€?am",House
RSECH33PNYKK604DZI94,Pukekohe,4,2,163100,,Price by negotiation,Dwelling
EASE INTO HOME OWNERSHIP,Pukekohe,3,1,,,"Asking price $549,000",House
Modern Living Near One Tree Hill,Greenlane,3,3,,,Price by negotiation,Townhouse
"Waterfront, Two Homes, One Title",Shelly Park,6,4,1255,,"Auction on 19 Apr, 8:51?€?am",House
MORTGAGEE SALE,Pakuranga,4,1,660,,"Auction on 16 Apr, 2:00?€?pm",House
P5J7H1SB2K2UKX3ZP2X3,Remuera,3,2,,,"Asking price $3,800,000",Apartment
4WQV2G0XN9PB6N1U2753,Pukekohe,3,1,,,"Auction on 27 Mar, 2:00?€?pm",House
HDBK9LF82WIBDZ8JMO2K,Epsom,4,4,,,Price by negotiation,House
IZPZEUSDCLOQT9VS1KKW,Glen Eden,1,1,,,"Auction on 19 Mar, 2:00?€?pm",Apartment
FSA9FQPX5HK6B6SGY67W,Onewhero,3,1,20000,,"Asking price $890,000",Dwelling
Time to fulfill your dreams,Pokeno,2,3,1000,,"Auction on 22 Mar, 5:51?€?am",Unit
Best Buy in The Pacifica,City Centre,2,2,,,"Asking price $1,450,000",Apartment
What More Could you Want!,Orakei,4,3,,,"Auction on 30 Apr, 10:00?€?am",House
The Perfect Package!,Pukekohe,3,1,693,,"Auction on 18 Apr, 8:43?€?am",House
P4XOERXL94NUZ1SE3XB2,City Centre,2,1,,,Price by negotiation,Apartment
PAH4T2BUAZGSHMJZU7NR,Pukekawa,3,1,59600,,Price by negotiation,Dwelling
Q79EO0NRRR6SZL8UA5GW,Karaka,5,4,555,,Price by negotiation,House
5LKVCH5BVJA6TWCCR962,Karaka,6,3,597,,Price by negotiation,House
PDPNXN71994BW9VQGREP,Pukekohe,3,2,702,,Price by negotiation,House
Time to fulfill your dreams,Pokeno,2,3,1000,,"Auction on 21 Mar, 5:49?€?am",House
"Income, Security and Convenience!",City Centre,2,1,,,Price by negotiation,Apartment
Elegant Remuera Residence,Remuera,5,4,1599,,Price by negotiation,House
MORTGAGEE SALE,City Centre,1,1,,,"Auction on 17 Apr, 8:41?€?am",Apartment
A Great Starter On A Convenient Location in DGZ,Greenlane,2,1,,,"Auction on 17 Apr, 9:15?€?am",Unit
Picture Perfect Country Villa,Warkworth,5,2,68760,,Price by negotiation,House
DGZ Remuera Starter ?€? Prime Potential,Remuera,1,1,503,,Deadline sale by 10 Apr,House
Heart of Remuera Living - DGZ,Remuera,3,2,,,Price by negotiation,Unit
MVGWVAHIKD2XI1C316GV,Pukekohe,3,1,298,,"Asking price $749,000",House
Q0OJOKXBF7JNDTUA8CLO,Hunua,4,2,119100,,"Asking price $1,550,000",Dwelling
1B28XH4SVBLUMHS9WHKE,Saint Heliers,6,4,2122,,"Asking price $6,995,000",House
HJPTLNN3G4N82SB87TTK,City Centre,1,1,,,"Auction on 2 Apr, 2:00?€?pm",Apartment
VLPV6PSOGAAJ0QR4U7IG,Massey,1,1,89,,"Asking price $588,888",Townhouse
Time to fulfill your dreams,Pokeno,2,3,1000,,"Auction on 20 Mar, 5:48?€?am",House
WJHYP5ET35X2M0NTHL76,Pukekohe,3,1,340,,Price by negotiation,House
Modern Comfort & Coastal Convenience,Silverdale,3,3,,,"Asking price $939,000",House
Modern Studio Apartment in Grey Lynn ?€? Smart C...,Grey Lynn,1,1,,,"Asking price $585,000",Apartment
CBBLAYOQL9VPMZ5VIQER,Greenlane,4,3,,,Price by negotiation,Townhouse
MUST SELL! Huge Potential Here in Towerhill,City Centre,1,1,,,"Auction on 16 Apr, 8:39?€?am",Apartment
6RQC1STHLBDGYPAMXFEJ,City Centre,2,1,,,"Asking price $329,000",Apartment
YHRUKEQ9I3MZFIYORS62,Waiuku,,,427,,"Asking price $275,000 + GST (if any)",Section
337RA6XTP1NV781BCDN8,Remuera,3,3,,,"Asking price $1,590,000",Townhouse
QAQPM3PO15L9INLIDWEA,Mangere,2,1,,,"Asking price $699,000",Townhouse
B0EYMN2WZ0ABW76KKWOS,City Centre,2,1,,,"Asking price $295,000",Apartment
Time to fulfill your dreams,Pokeno,2,3,1000,,"Auction on 19 Mar, 5:48?€?am",House
WILJCDY1UNM907NJRN8P,City Centre,2,1,,,"Asking price $279,000",Apartment
Motivated Seller Leaving Town ?€? Will Be Sold,Glenbrook,3,2,45200,,Price by negotiation,Dwelling
"Motivated Vendor, make your offer today!",Pukekohe,5,3,1024,,Price by negotiation,House
"Waterfront, Two Homes, One Title",Shelly Park,6,4,1255,,"Auction on 15 Apr, 8:39?€?am",House
ULQ0SLP14BU7SXZ35IMV,City Centre,2,1,,,"Asking price $89,000",Apartment
YNHVI77X4IEP64MWT77L,Parnell,2,2,,,Price by negotiation,Unit
ZK4XV89PBJZKH0YTCST3,City Centre,1,1,,,Deadline sale by 12 Mar,Apartment
YGZ6XUIXTYIUVY5IKYIB,Remuera,2,2,,,"Asking price $1,295,000",Apartment
EG39WQMDAWH8IKILTGYK,Karaka,4,3,10330,,Price by negotiation,House
Time to start your dream home,Pokeno,,,1000,,"Auction on 18 Mar, 5:48?€?am",Bare land
Time to fulfill your dreams,Pokeno,2,3,1000,,"Auction on 18 Mar, 5:47?€?am",Townhouse
Brand New and Affordable,Pukekohe,3,2,178,,Price by negotiation,House
VR Prime Location Opposite SkyCity,City Centre,2,1,,,Price by negotiation,Apartment
Welcome to your modern townhouse oasis!,Mount Albert,2,3,76,,"Asking price $1,260,000",Townhouse
J1HJJ1AI7C4FKLV0I91G,Pukekohe,4,4,319,,Price by negotiation,House
A Rare Find With Tranquil Setting,Howick,3,2,,,"Auction on 14 Apr, 8:40?€?am",House
B645BHSAH8DYC5X0KP02,Silverdale,2,1,,,"Asking price $760,000",House
B9LCARPL3SN83IEFS4KV,Pukekohe East,,,8200,,"Asking price $749,000",Bare land
WI3HLOWBGZGJSB1SLQG6,City Centre,1,1,,,"Asking price $610,000",Apartment
X4DNSIWHS0GU10TLC95K,City Centre,2,1,,,"Asking price $535,000",Apartment
O5VA6GRK7FNQV2857ZJD,Remuera,5,5,1205,,Price by negotiation,House
Time to fulfill your dreams,Pokeno,,,1000,,"Auction on 17 Mar, 6:02?€?am",Bare land
PNETTQXZSSTCJR30KAOF,City Centre,2,1,,,"Asking price $419,000",Apartment
Contemporary Comfort by the Coast,Orakei,3,3,,,"Asking price $1,690,000",House
Elevated City Living,City Centre,1,1,,,"Asking price $519,000",Apartment
MORTGAGEE SALE,Northpark,4,3,700,,"Auction on 13 Apr, 8:53?€?am",House
MORTGAGEE SALE,Northpark,4,3,700,,"Auction on 9 Apr, 2:00?€?pm",House
ZCUMNGM99BBNE7HX8Z4J,City Centre,1,1,,,"Asking price $439,000",Apartment
PQ0RK211FU5KOWZFPCCW,City Centre,2,1,,,"Asking price $419,000",Apartment
RRS5KO79QKMFWD5LACJN,Pukekohe,5,3,1270,,Price by negotiation,House
558JL727WLLPD05N5QJY,Pukekohe,4,3,20000,,"Asking price $1,794,000",Dwelling
KI5J3IJQ5F9OCLWLEDHV,Pukekohe,4,2,169,,Price by negotiation,House
Time to fulfill your dreams,Pokeno,,,1000,,"Auction on 16 Mar, 6:10?€?am",Bare land
Corner Charm: Your Versatile Home for Today an...,Pukekohe,4,2,501,,"Asking price $995,000",House
MASSIVE 83.86 HECTARES OF LAND IN KUMEU/HUAPAI,Huapai,6,3,838637,,Price by negotiation,House
Affordable Architectural Classic,Remuera,4,2,,,"Auction on 12 Apr, 8:58?€?am",House
MORTGAGEE SALE,Glen Eden,4,2,1290,,"For sale by tender,  17 Apr",House
Seaside Simplicity & Space,Awhitu,3,2,1110,,"Asking price $785,000",House
UNFORGETTABLE,Whitford,,,19100,,Price by negotiation,Bare land
3MH99M8VY0BLSZB40SMF,Puni,,,11800,,"Asking price $999,000",Bare land
5LTRGS0C1OVDINPJA5EG,City Centre,1,1,,,"Asking price $610,000",Apartment
EJ1OBJBVS1Z7SBOFLHTC,Waiuku,3,1,269000,,Price by negotiation,Dwelling
19JKZ8UHQK02AQLVKNBH,Pukekohe,4,2,1014,,Price by negotiation,House
Q2JJ1UD8OVTZBOTZFP8X,Pukekohe,5,5,666,,"Auction on 13 Mar, 2:00?€?pm",House
Time to fulfill your dreams,Pokeno,,,1000,,"Auction on 15 Mar, 5:51?€?am",Bare land
ZOBDV3GBGDUUWB8XZ8P6,Karaka,3,2,412,,Price by negotiation,House
DEVELOPERS DREAM,Mangere Bridge,3,1,809,,"Auction on 26 Mar, 10:00?€?am",House
Experience The Pacifica: Where Dreams Meet Reality,City Centre,2,2,,,"Asking price $1,749,000",Apartment
STYLISH SOPHISTICATION ONLY MINUTES FROM TOWN,Pukekohe East,4,2,3700,,"Auction on 11 Apr, 8:43?€?am",Dwelling
SBBC0CU100YCMCDI3NL6,Drury,,,11800,,"Asking price $915,000",Bare land
3RY0HJ11Z553BGUQ5SQX,City Centre,1,1,,,Price by negotiation,Apartment
EGT3Y1V0AJBUVLUPPK4I,City Centre,2,2,,,"Asking price $1,450,000",Apartment
RJMLJBLEWABQOQQETV8M,Bayswater,5,2,1214,,Price by negotiation,House
Opposite to SKYTOWER & CRL Station,City Centre,2,2,,,"Asking price $709,000",Apartment
Urgent sale required!,Pukekohe,4,2,169,,Price by negotiation,House
The Perfect Package!,Pukekohe,3,1,693,,"Auction on 10 Apr, 5:08?€?am",House
A Rare Find With Tranquil Setting,Howick,3,2,,,"Auction on 2 Apr, 10:00?€?am",House
The Best Of Both Worlds,Remuera,3,2,,,Price by negotiation,Apartment
The Jewel in the Crown,Tawharanui Peninsula,4,3,77100,,"For sale by tender,  16 Apr",Dwelling
1940s Art Deco Gem ?€? A Rare Find in Prime City...,Grafton,2,1,,,Price by negotiation,Apartment
Mt Eden Charm & Space,Mount Eden,4,2,691,,"For sale by tender,  3 Apr",House
VC8JW21IHS1P308XKQJ5,Ramarama,4,2,246,,Price by negotiation,House
BONJ0SV0L70HMN5WSDR3,City Centre,2,2,,,"Asking price $1,300,000",Apartment
1A0KNE86QNIUDY1ST9US,Bombay,4,4,70600,,"For sale by tender,  19 Mar",Dwelling
GA3EYLDW0CDO7U0PMIHE,City Centre,1,1,,,"Asking price $519,000",Apartment
BVVZWUJ4TBZRC11V0BZ7,Remuera,4,4,1184,,Price by negotiation,House
Time to fulfill your dreams,Pokeno,2,3,1000,,"Auction on 13 Mar, 5:52?€?am",Unit
MPTQZFFSPXG55ISG7N1E,Pukekohe,3,1,,,Deadline sale by 26 Mar,House
Waterfront Living with Massive Deck,City Centre,1,1,,,"Asking price $89,000",Apartment
Entry level- Brand new & Modern Living,Mangere,2,1,,,"Asking price $799,000",Townhouse
"Artists retreat, family escape or lifestyle st...",Pollok,3,1,3200,,"Auction on 9 Apr, 8:44?€?am",Dwelling
N2SEMRURVA56Q9L7O74H,Pokeno,,,565,,"Asking price $440,000",Section
B1MTDZCCJ0KEYRCB3XWL,Bombay,4,3,21300,,"Auction on 27 Mar, 2:00?€?pm",Dwelling
NK2AXPWDV5ZPUN45OUAM,Puni,,,11700,,Price by negotiation,Bare land
EUA7NL7DCUHHS0GWOL6T,City Centre,2,1,,,"Asking price $578,000",Apartment
ZLBLSEC0RWBNDFWMZ7AT,City Centre,2,1,,,"Asking price $648,000",Apartment
Time to fulfill your dreams,Pokeno,2,3,1000,,"Auction on 12 Mar, 5:53?€?am",Townhouse
LRBNLJLGDQM0B1DPNBW7,City Centre,2,2,,,"Asking price $1,300,000",Apartment
TRANQUIL WATERSIDE SANCTUARY,Awhitu,3,3,1942,,Price by negotiation,House
"Prestigious Living, Panoramic Views, Priced to...",Pukekohe,5,2,770,,"Asking price $1,295,000",House
MORTGAGEE SALE,Remuera,,,579,,"Auction on 8 Apr, 8:44?€?am",Section
SK3G8P50FIQKC4YB1A6E,Remuera,3,3,,,"Asking price $1,590,000",Townhouse
LWQFLN2WSZ7FYUWLMINU,Pukekohe,4,2,163100,,Price by negotiation,Dwelling
U9PYY70G5ZB11KZ80RE4,Pukekohe,5,2,770,,"Asking price $1,295,000",House
SA65IWFMWVP5VSPBJ3Q9,Patumahoe,4,2,935,,Price by negotiation,House
E3EII8VOCXC87KNN10JO,Newmarket,3,3,,,"Asking price $929,000",Apartment
Time to fulfill your dreams,Pokeno,2,3,1000,,"Auction on 11 Mar, 5:57?€?am",House
Freehold Apt right by the University & AUT,City Centre,1,1,,,Price by negotiation,Apartment
"Stylish, Spacious & Ready for You",Pukekohe,4,2,495,,"Auction on 20 Mar, 2:00?€?pm",House
MORTGAGEE SALES,Glen Eden,1,1,,,"Auction on 7 Apr, 8:46?€?am",Apartment
O7UG3KTM4MMTFD6CU93J,Pukekohe,3,1,,,Price by negotiation,Townhouse
6NPPCMPG6ND10F4DNX6U,Oneroa,,,1293,,Price by negotiation,Section
NKLKDW9133TLNAKOZY8T,Epsom,3,3,,,"Auction on 26 Mar, 2:00?€?pm",Townhouse
XYAPQZHVQ7C96J8TK39V,City Centre,2,2,,,Price by negotiation,Apartment
REEVMUM0S3QLAW6QGHY8,Epsom,4,2,,,Price by negotiation,Townhouse
KCLOB29PBNVZMJESKJSN,Totara Vale,4,2,438,,Price by negotiation,House
WHQRRMAAQLA5XBA3WNTA,City Centre,1,1,,,Deadline sale by 26 Mar,Apartment
Restored 1930s Vintage Masterpiece,City Centre,2,1,,,Deadline sale by 13 Mar,Apartment
FAMILY-FRIENDLY COUNTRY LIFESTYLE ON 3 ACRES,Karaka,5,2,13600,,"Asking price $2,395,000",Dwelling
SENSATIONAL SANCTUARY,Pukekohe,5,5,666,,"Auction on 5 Apr, 5:03?€?am",House
BEAUTIFULLY RENOVATED HOME,Pukekohe,4,1,1012,,Deadline sale by 26 Mar,House
The Perfect Package!,Pukekohe,3,1,693,,"Auction on 10 Apr, 2:00?€?pm",House
Character Galore - Freestanding Georgian Villa,Parnell,2,2,,,Price by negotiation,Unit
PIJX3PIBM4VC5395G8O8,Remuera,3,2,1224,,Price by negotiation,House
IUNPICCU43F6I3JXDAWK,Pukekohe,4,2,651,,"Auction on 6 Mar, 2:00?€?pm",House
DS8BDQB5ALV8L893TOIJ,Drury,4,2,8200,,"Asking price $1,849,000",Dwelling
B1H456TF0DGL7JCAHPQJ,City Centre,5,3,,,Price by negotiation,Apartment
PAW7810IHCDUSIUDTNT8,City Centre,1,1,,,"Asking price $337,000",Apartment
Time to fulfill your dreams,Pokeno,2,3,1000,,"Auction on 8 Mar, 7:28?€?pm",Unit
GHGSSN6V8YE0KQ3FTMMY,City Centre,1,1,,,"Asking price $79,000",House
Scenic 14.7 Acre Lifestyle with Breathtaking Views,Pukekawa,3,1,59600,,Price by negotiation,Dwelling
TIMELESS COUNTRY HOME ON 25.5 HA,Pukekohe,4,3,255800,,Price by negotiation,Dwelling
MODERN LUXURY - PRESTIGIOUS LOCATION,Bombay,3,2,5300,,"Auction on 4 Apr, 6:18?€?pm",Dwelling
P35LA0NM0AD235OCRA5L,City Centre,1,1,,,"Asking price $79,000",House
FFVRLB8TJPG30BC0V51H,City Centre,1,1,,,"Asking price $879,000",Apartment
5FAU1YK844OBG5AWD4BG,Glenbrook,3,3,12600,,Price by negotiation,Dwelling
N0J04UFRCAPCJRQ8GI6J,Clarks Beach,4,3,472,,Price by negotiation,House
U34S95GRFVVRAGF4O43C,Pukekohe,3,2,487,,Deadline sale by 18 Mar,House
MORTGAGEE SALE,Okura,5,1,4000,,"For sale by tender,  27 Feb",House
Fully Refurbished & Bank Friendly,City Centre,2,1,,,"Asking price $415,000",Apartment
PREMIUM POSITIONED RESERVE SIDE VALLEY HOME,Pukekohe,4,2,742,,"Auction on 4 Apr, 9:46?€?am",House
dffffffffffffffffff,Hobsonville,3,6,,,"Asking price $100,000",House
5TQ3A2WD7VU9AM1K8JR3,Te Atatu South,2,1,,,"Asking price $650,000",Townhouse
SLCNA21HZC4BGNSDEU7Q,City Centre,2,2,,,Price by negotiation,Apartment
Q71PN8JTUZJNCME3NXZW,Karaka,4,3,504,,"Asking price $1,295,000",House
9W0E4POJ8WN4GFP182ND,Saint Heliers,4,2,,,"Auction on 26 Mar, 10:00?€?am",House
RWUMVCJRJU6XUPOY4E9W,Mount Eden,3,2,,,"Asking price $1,575,000",Townhouse
Time to fulfill your dreams,Pokeno,2,3,1000,,"Auction on 7 Mar, 6:08?€?am",House
2.1 ACRES - SUPERB LAND AND LOCATION,Karaka,,,8600,,Price by negotiation,Bare land
LUXURIOUS PARKSIDE LIVING,Pukekohe,3,1,,,Price by negotiation,Townhouse
Luxury Garden Apartment,Mission Bay,2,2,,,"Auction on 3 Apr, 9:52?€?am",Apartment
Luxury Garden Apartment,Mission Bay,2,2,,,"Auction on 2 Apr, 10:00?€?am",Apartment
Sue?€?s Selling!,Remuera,2,2,255,,"Auction on 26 Mar, 10:00?€?am",Townhouse
New Freehold Home with Spectacular Seaviews,Orakei,3,2,,,"Asking price $1,709,000",House
Be Prepared To Be Surprised,Meadowbank,5,2,587,,"Auction on 26 Mar, 10:00?€?am",House
Refreshed And Revving To Go,Saint Heliers,4,2,,,"Auction on 26 Mar, 10:00?€?am",House
6T1FGY2QU63PWH3DN70D,Onewhero,3,1,141400,,Price by negotiation,Dwelling
HPDR5KN4P7S5HKYMULP3,Clarks Beach,5,4,44400,,"Asking price $2,195,000",Dwelling
JTRGTDTTXE0P0MKBWY8C,City Centre,2,1,,,Price by negotiation,Apartment
UO8LB102L9JUIBG7IR52,Tuakau,4,2,8300,,"Auction on 6 Mar, 2:00?€?pm",Dwelling
Time to fulfill your dreams,Pokeno,2,3,1000,,"Auction on 6 Mar, 8:26?€?pm",House
Timeless Elegance in Remuera DGZ,Remuera,5,4,522,,"Asking price $3,190,000",House
Must Sell Now - Don't Miss Out!,Te Atatu South,3,3,,,Price by negotiation,Townhouse
Catch a snapper for dinner,Waiuku,,,80900,,Price by negotiation,Bare land
MORTGAGEE SALE,City Centre,1,1,,,"Auction on 2 Apr, 7:14?€?pm",House
AQRHS1TXIJWJKVI19R7J,Karaka,,,8600,,Price by negotiation,Bare land
P5XUPMRHWM4RTT8JSD8H,City Centre,1,1,,,"Asking price $299,000",Apartment
FH0VAZ9RT6NY3L0BA4SM,Karaka,5,2,13600,,"Asking price $2,395,000",Dwelling
TK0FTJLLD4TGIE9FXXZ1,Remuera,3,2,,,"Asking price $2,950,000",House
3K4G08VC7P2J4DDM16Z5,Pukekohe,6,3,392700,,Price by negotiation,Dwelling
6BAXF58QAB97NOQYX13H,Ardmore,4,3,15800,,Price by negotiation,Dwelling
Luxury Living in the Heart of Auckland,City Centre,2,2,,,Deadline sale by 5 Mar,Apartment
MORTGAGEE SALE,Kumeu,3,2,,,Price by negotiation,Townhouse
Affordable Architectural Classic,Remuera,4,2,,,"Auction on 2 Apr, 3:33?€?pm",House
ETR4WKQS1YHAM4X6DV00,Waiuku,,,5019,,Price by negotiation,Section
86E55UNLASMHB2Q56H5V,Remuera,3,3,,,"Asking price $1,590,000",Townhouse
R6L6UHF0A26823X0BPVX,City Centre,3,1,,,"Asking price $468,000",Apartment
RR5EFH4AX9N0C24E50M8,City Centre,1,2,,,"Asking price $349,000",Apartment
SC15KUXKSKSXIR8YLPC4,Awhitu,2,1,1012,,"Asking price $695,000",House
Time to fulfill your dreams,Pokeno,2,3,1000,,"Auction on 6 Mar, 5:49?€?am",House
Holidays Sorted!,Awhitu,3,2,1012,,"Asking price $795,000",House
Solid & Spacious ?€? Vacant & Ready to Move In!,Pokeno,4,2,477,,"Asking price $899,999",House
Room for All - Seven Bedrooms!,Pukekohe,6,3,665,,"Auction on 2 Apr, 9:41?€?am",House
Safe and Secure!,Pukekohe,2,1,,,Price by negotiation,Unit
DOC0DVJB1G1T4HSDJAFP,Pokeno,2,3,1000,,"Auction on 5 Mar, 5:52?€?am",House
IZQVJJVFNC4P3BS95HKW,Pukekohe,6,3,270,,Price by negotiation,House
AUIUYLLV04YYCKOMDE9K,Saint Heliers,5,3,870,,"Auction on 19 Mar, 10:00?€?am",House
YPE58DINUUQSVB3ZIT3J,Pokeno,,,1100,,"Asking price $510,000",Section
MDYBXKCGPPBDGKF3S279,Pukekohe,,,621,,Price by negotiation,Section
Time to fulfill your dreams,Pokeno,2,3,1000,,"Auction on 5 Mar, 5:52?€?am",House
B5XWKR8PML4ZQWYGBCUJ,Epsom,5,4,,,"For sale by tender,  6 Mar",House
RED HOT SALE PRICE - GREAT BANG FOR BUCK HERE,Onewhero,4,1,43600,,"Asking price $850,000",Dwelling
Experience the Best of Takapuna Living,Takapuna,3,2,,,Price by negotiation,Townhouse
MORTGAGEE SALES,Glen Eden,1,1,,,"Auction on 1 Apr, 9:39?€?am",Apartment
6P1ZJP18VHRIXNP4Y0XL,Papatoetoe,3,2,121,,Price by negotiation,Townhouse
E9HIOTFZAA1DN788F2IY,Sandringham,5,1,819,,Price by negotiation,House
UQ0YGQQEBOJ7IVVQX8QX,Patumahoe,4,2,60400,,Price by negotiation,Dwelling
YFNHV4JEXC1GQHPUYBMW,City Centre,2,2,,,"Asking price $518,000",Apartment
91Q7ZPQ9UO9PK9WS5L0Y,Clarks Beach,3,2,601,,Price by negotiation,House
Time to fulfill your dreams,Pokeno,2,3,1000,,"Auction on 4 Mar, 6:17?€?am",House
Elevate Your Lifestyle at 63 Tonar Street!,Northcote,2,1,,,"Asking price $719,000",Apartment
MUST SELL! MAKE AN OFFER NOW,Kumeu,4,2,28434,,Price by negotiation,House
MORTGAGEE SALES,Glen Eden,1,1,,,"Auction on 31 Mar, 5:09?€?am",Apartment
L45SEXTMWZTR9R6VKEUJ,Waiuku,,,427,,"Asking price $275,000 + GST (if any)",Section
XIEN1N32MREOTK98GVUS,Pukekohe,2,1,,,"Asking price $695,000",Apartment
BA5EEYCV80SHCG3J66XG,Pukekohe,,,621,,Price by negotiation,Section
4KU968DJG8ZIL0R5CV4Y,Waiuku,3,2,517,,"Auction on 13 Mar, 2:00?€?pm",House
Time to fulfill your dreams,Pokeno,2,3,1000,,"Auction on 3 Mar, 6:14?€?am",House
EXQUISITE HIGH END ELEGANCE + POOL & SPA,Karaka,6,3,597,,"Auction on 6 Mar, 2:00?€?pm",House
HIGH COURT SALE,City Centre,1,1,,,"Auction on 5 Mar, 2:00?€?pm",Apartment
MORTGAGEE SALE,Massey,3,1,1260,,"For sale by tender,  27 Mar",House
